# colibri-trace,v2
ns,forward,thread,kind,layer,eid,generation,resource
136438198959200,19,0,msa_scan_end,1,-1,0,6
136438198959200,19,0,msa_select_begin,1,-1,0,6
136438198959400,19,0,msa_select_end,1,-1,0,6
136438199077500,19,0,route_ready,1,1,0,0
136438199077500,19,0,route_ready,1,0,0,0
136438199078000,19,0,weight_lru,1,1,0,0
136438199078000,19,0,weight_lru,1,0,0,1
136438199078100,19,0,compute_start,1,1,0,0
136438199192800,19,0,compute_end,1,1,0,0
136438199192900,19,0,compute_start,1,0,0,1
136438199306800,19,0,compute_end,1,0,0,1
136438199412700,19,0,forward_end,1,-1,0,1
136438199452800,20,0,forward_begin,0,-1,0,1
136438199935400,20,0,msa_scan_begin,1,-1,0,6
136438199935699,20,0,msa_scan_end,1,-1,0,6
136438199935799,20,0,msa_select_begin,1,-1,0,6
136438199935899,20,0,msa_select_end,1,-1,0,6
136438200049300,20,0,route_ready,1,1,0,0
136438200049300,20,0,route_ready,1,0,0,0
136438200049700,20,0,weight_lru,1,1,0,0
136438200049700,20,0,weight_lru,1,0,0,1
136438200049800,20,0,compute_start,1,1,0,0
136438200158100,20,0,compute_end,1,1,0,0
136438200158200,20,0,compute_start,1,0,0,1
136438200267400,20,0,compute_end,1,0,0,1
136438200381300,20,0,forward_end,1,-1,0,1
136438200419900,21,0,forward_begin,0,-1,0,1
136438200906299,21,0,msa_scan_begin,1,-1,0,6
136438200910399,21,0,msa_scan_end,1,-1,0,6
136438200910499,21,0,msa_select_begin,1,-1,0,6
136438200910599,21,0,msa_select_end,1,-1,0,6
136438201022900,21,0,route_ready,1,1,0,0
136438201023000,21,0,route_ready,1,0,0,0
136438201023300,21,0,weight_lru,1,1,0,0
136438201023300,21,0,weight_lru,1,0,0,1
136438201023400,21,0,compute_start,1,1,0,0
136438201135000,21,0,compute_end,1,1,0,0
136438201135200,21,0,compute_start,1,0,0,1
136438201248900,21,0,compute_end,1,0,0,1
136438201359100,21,0,forward_end,1,-1,0,1
136438178191899,1,1,load_start,1,1,1,0
136438178263100,1,1,load_complete,1,1,1,0
136438178193600,1,2,load_start,1,0,1,1
136438178246400,1,2,load_complete,1,0,1,1
