# colibri-trace,v1
ns,forward,thread,kind,layer,eid,generation,resource
6634662598600,16,0,compute_start,1,0,0,1
6634662700700,16,0,compute_end,1,0,0,1
6634662795900,16,0,forward_end,1,-1,0,1
6634662828000,17,0,forward_begin,0,-1,0,1
6634663246600,17,0,msa_scan_begin,1,-1,0,5
6634663246900,17,0,msa_scan_end,1,-1,0,5
6634663247000,17,0,msa_select_begin,1,-1,0,5
6634663247100,17,0,msa_select_end,1,-1,0,5
6634663341500,17,0,route_ready,1,1,0,0
6634663341500,17,0,route_ready,1,0,0,0
6634663341900,17,0,weight_lru,1,1,0,0
6634663341900,17,0,weight_lru,1,0,0,1
6634663342000,17,0,compute_start,1,1,0,0
6634663436300,17,0,compute_end,1,1,0,0
6634663436500,17,0,compute_start,1,0,0,1
6634663537500,17,0,compute_end,1,0,0,1
6634663638200,17,0,forward_end,1,-1,0,1
6634663673500,18,0,forward_begin,0,-1,0,1
6634664113400,18,0,msa_scan_begin,1,-1,0,5
6634664113800,18,0,msa_scan_end,1,-1,0,5
6634664113800,18,0,msa_select_begin,1,-1,0,5
6634664114000,18,0,msa_select_end,1,-1,0,5
6634664210700,18,0,route_ready,1,0,0,0
6634664210700,18,0,route_ready,1,1,0,0
6634664211200,18,0,weight_lru,1,0,0,0
6634664211200,18,0,weight_lru,1,1,0,1
6634664211300,18,0,compute_start,1,0,0,0
6634664310400,18,0,compute_end,1,0,0,0
6634664310800,18,0,compute_start,1,1,0,1
6634664406200,18,0,compute_end,1,1,0,1
6634664508000,18,0,forward_end,1,-1,0,1
6634664543700,19,0,forward_begin,0,-1,0,1
6634664973300,19,0,msa_scan_begin,1,-1,0,6
6634664973700,19,0,msa_scan_end,1,-1,0,6
6634664973800,19,0,msa_select_begin,1,-1,0,6
6634664974000,19,0,msa_select_end,1,-1,0,6
6634665074300,19,0,route_ready,1,1,0,0
6634665074300,19,0,route_ready,1,0,0,0
6634665074800,19,0,weight_lru,1,1,0,0
6634665074800,19,0,weight_lru,1,0,0,1
6634665074900,19,0,compute_start,1,1,0,0
6634665173600,19,0,compute_end,1,1,0,0
6634665173900,19,0,compute_start,1,0,0,1
6634665268700,19,0,compute_end,1,0,0,1
6634665367900,19,0,forward_end,1,-1,0,1
6634665404700,20,0,forward_begin,0,-1,0,1
6634665821000,20,0,msa_scan_begin,1,-1,0,6
6634665821500,20,0,msa_scan_end,1,-1,0,6
6634665821600,20,0,msa_select_begin,1,-1,0,6
6634665821800,20,0,msa_select_end,1,-1,0,6
6634665919800,20,0,route_ready,1,1,0,0
6634665919900,20,0,route_ready,1,0,0,0
6634665920300,20,0,weight_lru,1,1,0,0
