# colibri-trace,v1
ns,forward,thread,kind,layer,eid,generation,resource
6634515838800,16,0,msa_scan_end,1,-1,0,5
6634515838900,16,0,msa_select_begin,1,-1,0,5
6634515839000,16,0,msa_select_end,1,-1,0,5
6634515928400,16,0,route_ready,1,1,0,0
6634515928400,16,0,route_ready,1,0,0,0
6634515928800,16,0,weight_lru,1,1,0,0
6634515928800,16,0,weight_lru,1,0,0,1
6634515928900,16,0,compute_start,1,1,0,0
6634516012400,16,0,compute_end,1,1,0,0
6634516012600,16,0,compute_start,1,0,0,1
6634516093700,16,0,compute_end,1,0,0,1
6634516183200,16,0,forward_end,1,-1,0,1
6634516210100,17,0,forward_begin,0,-1,0,1
6634516766000,17,0,msa_scan_begin,1,-1,0,5
6634516766400,17,0,msa_scan_end,1,-1,0,5
6634516766400,17,0,msa_select_begin,1,-1,0,5
6634516766600,17,0,msa_select_end,1,-1,0,5
6634516851400,17,0,route_ready,1,1,0,0
6634516851500,17,0,route_ready,1,0,0,0
6634516851900,17,0,weight_lru,1,1,0,0
6634516851900,17,0,weight_lru,1,0,0,1
6634516852000,17,0,compute_start,1,1,0,0
6634516932600,17,0,compute_end,1,1,0,0
6634516932700,17,0,compute_start,1,0,0,1
6634517015200,17,0,compute_end,1,0,0,1
6634517101500,17,0,forward_end,1,-1,0,1
6634517132400,18,0,forward_begin,0,-1,0,1
6634517500700,18,0,msa_scan_begin,1,-1,0,5
6634517501000,18,0,msa_scan_end,1,-1,0,5
6634517501100,18,0,msa_select_begin,1,-1,0,5
6634517501200,18,0,msa_select_end,1,-1,0,5
6634517588700,18,0,route_ready,1,0,0,0
6634517588700,18,0,route_ready,1,1,0,0
6634517589100,18,0,weight_lru,1,0,0,0
6634517589200,18,0,weight_lru,1,1,0,1
6634517589300,18,0,compute_start,1,0,0,0
6634517669500,18,0,compute_end,1,0,0,0
6634517669800,18,0,compute_start,1,1,0,1
6634517751300,18,0,compute_end,1,1,0,1
6634517836300,18,0,forward_end,1,-1,0,1
6634517863900,19,0,forward_begin,0,-1,0,1
6634518215200,19,0,msa_scan_begin,1,-1,0,6
6634518215700,19,0,msa_scan_end,1,-1,0,6
6634518215800,19,0,msa_select_begin,1,-1,0,6
